care_purpose,morbidity,etiology,major_clinical_category
,F989,G540,
,G001,G541,
,G002,G542,
,G003,G544,
,G01,G547,
,G021,G548,
,G030,G550,
,G031,G551,
,G039,G552,
,G040,G553,
,G041,G558,
,G042,G560,
,G048,G563,
,G049,G570,
,G050,G572,
,G051,G573,
,G052,G574,
,G060,G576,
,G061,G578,
,G062,G587,
,G09,G600,
,G10,G602,
,G111,G603,
,G112,G608,
,G113,G609,
,G114,G610,
,G118,G618,
,G119,G619,
,G121,G620,
,G122,G621,
,G128,G622,
,G130,G628,
,G138,G629,
,G20,G630,
,G210,G631,
,G211,G632,
,G212,G634,
,G218,G636,
,G219,G638,
,G22,G64,
,G231,G700,
,G232,G709,
,G238,G710,
,G239,G711,
,G240,G712,
,G243,G713,
,G244,G720,
,G248,G728,
,G249,G729,
,G250,G736,
,G251,G800,
,G252,G801,
,G253,G802,
,G255,G803,
,G258,G804,
,G259,G808,
,G26,G809,
,G300,G810,
,G301,G8100,
,G308,G811,
,G309,G819,
,G310,G820,
,G311,G821,
,G312,G822,
,G318,G823,
,G319,G824,
,G328,G825,
,G35,G831,
,G361,G832,
,G379,G833,
,G400,G834,
,G401,G838,
,G402,G838+0,
,G403,G839,
,G404,G900,
,G405,G903,
,G406,G908,
,G407,G911,
,G408,G912,
,G409,G913,
,G410,G918,
,G411,G919,
,G418,G92,
,G419,G930,
,G439,G931,
,G440,G932,
,G441,G934,
,G442,G936,
,G450,G938,
,G451,G941,
,G452,G942,
,G453,G950,
,G458,G951,
,G459,G952,
,G460,G958,
,G462,G961,
,G463,G968,
,G464,G978,
,G467,G98,
,G468,G990,
,G470,G991,
,G471,G992,
,G473,H150,
,G474,H160,
,G479,H163,
,G500,H169,
,G510,H181,
,G511,H182,
,G518,H184,
,G519,H185,
,G522,H189,
,G527,H209,
,G528,H250,
,G530,H251,
,G533,H258,
,G540,H259,
,G541,H262,
,G542,H268,
,G544,H269,
,G545,H280,
,G546,H308,
,G547,H309,
,G548,H311,
,G550,H330,
,G551,H332,
,G552,H335,
,G553,H341,
,G558,H350,
,G560,H351,
,G561,H352,
,G562,H353,
,G563,H355,
,G568,H358,
,G570,H360,
,G571,H400,
,G572,H401,
,G573,H402,
,G574,H408,
,G576,H409,
,G578,H431,
,G588,H433,
,G590,H438,
,G598,H442,
,G600,H445,
,G603,H470,
,G610,H472,
,G611,H490,
,G618,H499,
,G619,H539,
,G620,H540,
,G621,H541,
,G628,H542,
,G629,H543,
,G630,H544,
,G632,H547,
,G633,H55,
,G638,H588,
,G64,H590,
,G700,H602,
,G708,H653,
,G709,H701,
,G710,H709,
,G711,H71,
,G712,H728,
,G723,H738,
,G728,H810,
,G729,H811,
,G800,H812,
,G801,H813,
,G802,H814,
,G803,H818,
,G804,H819,
,G808,H82,
,G809,H830,
,G810,H838,
,G8100,H903,
,G8101,H905,
,G8108,H918,
,G811,H920,
,G819,H950,
,G820,I00,
,G821,I050,
,G822,I051,
,G823,I052,
,G824,I058,
,G825,I059,
,G830,I060,
,G831,I061,
,G832,I062,
,G833,I069,
,G834,I071,
,G838,I080,
,G838+0,I081,
,G838+8,I083,
,G839,I088,
,G900,I10,
,G901,I110,
,G902,I119,
,G903,I120,
,G910,I129,
,G911,I130,
,G912,I131,
,G913,I132,
,G918,I150,
,G919,I159,
,G92,I200,
,G930,I200+0,
,G931,I201,
,G932,I208,
,G934,I209,
,G935,I210,
,G936,I2100,
,G938,I21000,
,G941,I2108,
,G948,I211,
,G950,I2110,
,G952,I21100,
,G958,I2118,
,G960,I212,
,G961,I2120,
,G970,I2128,
,G978,I213,
,G990,I21300,
,G992,I2138,
,H020,I214,
,H024,I2148,
,H027,I219,
,H029,I2190,
,H043,I2198,
,H048,I220,
,H052,I2208,
,H102,I221,
,H160,I2288,
,H162,I232,
,H163,I233,
,H181,I235,
,H182,I236,
,H183,I238,
,H188,I240,
,H200,I248,
,H250,I249,
,H251,I250,
,H258,I251,
,H259,I252,
,H262,I253,
,H264,I254,
,H268,I255,
,H269,I256,
,H270,I258,
,H271,I259,
,H280,I260,
,H309,I269,
,H3200,I270,
,H330,I272,
,H332,I278,
,H335,I279,
,H341,I301,
,H342,I308,
,H353,I309,
,H354,I311,
,H355,I312,
,H356,I313,
,H358,I319,
,H359,I330,
,H400,I339,
,H402,I340,
,H406,I341,
,H409,I342,
,H431,I348,
,H439,I349,
,H440,I350,
,H441,I351,
,H46,I352,
,H490,I358,
,H492,I359,
,H508,I361,
,H532,I369,
,H534,I372,
,H536,I38,
,H538,I390,
,H539,I391,
,H540,I394,
,H541,I400,
,H542,I408,
,H543,I409,
,H544,I420,
,H545,I421,
,H581,I422,
,H609,I425,
,H650,I426,
,H652,I427,
,H653,I428,
,H660,I429,
,H669,I438,
,H71,I440,
,H720,I441,
,H728,I442,
,H729,I443,
,H741,I447,
,H808,I451,
,H810,I455,
,H811,I458,
,H812,I459,
,H813,I460,
,H814,I469,
,H818,I471,
,H819,I472,
,H82,I479,
,H838,I48,
,H901,I490,
,H903,I492,
,H931,I495,
,I010,I498,
,I011,I499,
,I050,I500,
,I051,I501,
,I052,I509,
,I059,I510,
,I060,I511,
,I069,I513,
,I080,I517,
,I081,I518,
,I091,I528,
,I10,I600,
,I110,I601,
,I119,I602,
,I120,I603,
,I129,I604,
,I131,I605,
,I132,I607,
,I150,I608,
,I151,I609,
,I158,I610,
,I159,I611,
,I200,I612,
,I200+0,I613,
,I201,I614,
,I208,I615,
,I209,I616,
,I210,I618,
,I2100,I619,
,I21000,I620,
,I2108,I621,
,I211,I629,
,I2110,I630,
,I21100,I631,
,I2118,I632,
,I212,I633,
,I2120,I634,
,I21200,I635,
,I2128,I638,
,I213,I639,
,I2130,I64,
,I2138,I650,
,I214,I651,
,I2140,I652,
,I21400,I653,
,I2148,I658,
,I219,I659,
,I2190,I660,
,I21900,I662,
,I2198,I663,
,I220,I668,
,I221,I670,
,I2218,I671,
,I228,I672,
,I229,I673,
,I232,I674,
,I233,I677,
,I235,I678,
,I236,I680,
,I238,I690,
,I240,I691,
,I241,I692,
,I248,I693,
,I249,I694,
,I250,I698,
,I251,I700,
,I252,I701,
,I253,I702,
,I254,I708,
,I255,I709,
,I256,I710,
,I258,I711,
,I259,I712,
,I260,I713,
,I269,I714,
,I270,I715,
,I278,I716,
,I279,I718,
,I300,I719,
,I301,I720,
,I308,I722,
,I309,I723,
,I311,I724,
,I312,I728,
,I313,I729,
,I319,I730,
,I328,I731,
,I330,I738,
,I339,I739,
,I340,I740,
,I341,I741,
,I342,I742,
,I350,I743,
,I351,I744,
,I352,I745,
,I358,I748,
,I361,I770,
,I38,I771,
,I390,I772,
,I393,I775,
,I398,I776,
,I400,I778,
,I409,I780,
,I412,I790,
,I420,I792,
,I421,I798,
,I422,I800,
,I424,I801,
,I426,I802,
,I427,I803,
,I428,I808,
,I429,I809,
,I431,I81,
,I438,I820,
,I440,I822,
,I441,I828,
,I442,I830,
,I443,I831,
,I447,I832,
,I450,I839,
,I453,I840,
,I455,I841,
,I456,I842,
,I458,I846,
,I459,I848,
,I460,I849,
,I461,I850,
,I469,I859,
,I471,I868,
,I472,I870,
,I479,I871,
,I48,I872,
,I490,I880,
,I493,I890,
,I494,I898,
,I495,I950,
,I498,I951,
,I499,I952,
,I500,I958,
,I501,I959,
,I509,I970,
,I510,I980,
,I511,I982,
,I513,I9820,
,I514,J09,
,I517,J101,
,I518,J110,
,I600,J111,
,I601,J118,
,I602,J128,
,I603,J129,
,I607,J13,
,I608,J150,
,I609,J151,
,I610,J152,
,I611,J153,
,I612,J154,
,I614,J155,
,I615,J156,
,I616,J157,
,I618,J158,
,I619,J159,
,I620,J160,
,I621,J168,
,I629,J172,
,I630,J178,
,I631,J180,
,I632,J181,
,I633,J182,
,I634,J188,
,I635,J189,
,I638,J202,
,I639,J208,
,I64,J209,
,I650,J301,
,I652,J303,
,I653,J304,
,I658,J310,
,I660,J311,
,I663,J322,
,I669,J348,
,I671,J350,
,I672,J36,
,I673,J380,
,I674,J392,
,I678,J398,
,I691,J40,
,I692,J410,
,I693,J411,
,I694,J418,
,I698,J42,
,I700,J430,
,I702,J431,
,I708,J432,
,I709,J438,
,I710,J439,
,I711,J440,
,I712,J441,
,I713,J448,
,I714,J449,
,I716,J450,
,I719,J451,
,I720,J458,
,I721,J459,
,I722,J46,
,I723,J47,
,I724,J60,
,I728,J61,
,I729,J628,
,I730,J634,
,I731,J635,
,I738,J684,
,I739,J690,
,I740,J698,
,I741,J701,
,I742,J702,
,I743,J703,
,I744,J704,
,I745,J80,
,I748,J81,
,I770,J82,
,I771,J840,
,I772,J841,
,I773,J848,
,I775,J849,
,I776,J851,
,I778,J852,
,I790,J860,
,I792,J869,
,I800,J90,
,I801,J91,
,I802,J920,
,I803,J930,
,I808,J931,
,I809,J939,
,I81,J942,
,I822,J948,
,I828,J950,
,I830,J953,
,I831,J954,
,I832,J960,
,I839,J961,
,I841,J961+0,
,I842,J961+1,
,I844,J969,
,I848,J980,
